OBJECT TEFF E_TEFF LOGG E_LOGG FEH E_FEH LI1 E_LI1 "AGE (Gyr)" GES_FLD MEM3D
06580929+0624461 6245 65 3.74 0.18 -0.42 0.05 2.29 0.14 4.898 Br32 1
06580957+0626442 6004 83 4.11 0.23 -0.34 0.08 2.85 0.18 4.898 Br32 0.999
06581240+0625139 6180 66 4.2 0.17 -0.47 0.05 2.55 0.1 4.898 Br32 1
06581248+0628095 5952 83 4.36 0.21 -0.41 0.08 2.46 0.2 4.898 Br32 0.9986
06581260+0626218 5653 81 4.07 0.22 -0.15 0.08 1.89 0.0 4.898 Br32 0.9999
06581755+0627122 5054 81 4.68 0.23 -0.68 0.08 1.24 0.0 4.898 Br32 0.9931
06581779+0624300 5770 80 4.47 0.22 -0.29 0.07 2.43 0.25 4.898 Br32 0.9999
06581808+0622125 5597 64 3.52 0.18 -0.49 0.06 2.28 0.16 4.898 Br32 0.9999
06581889+0624243 5860 106 4.36 0.34 -0.3 0.1 2.31 0.0 4.898 Br32 0.9999
06581928+0622065 6016 67 4.27 0.17 -0.29 0.06 2.55 0.1 4.898 Br32 1
06581930+0623040 5340 81 4.17 0.22 -0.25 0.08 2.08 0.0 4.898 Br32 0.9996
06582090+0622490 6336 64 3.94 0.17 -0.61 0.06 2.1 0.0 4.898 Br32 1
06582201+0628540 5592 69 4.3 0.21 -0.44 0.05 2.39 0.14 4.898 Br32 0.9999
06582362+0623318 6134 81 3.57 0.22 -0.13 0.08 2.31 0.46 4.898 Br32 0.9999
06582413+0624417 6112 85 3.79 0.22 0.02 0.08 2.25 0.0 4.898 Br32 0.9998
06574833+0625052 5959 81 4.63 0.22 -0.38 0.08 2.86 0.13 4.898 Br32 0.9987
06575232+0626515 5811 81 4.11 0.22 -0.37 0.08 2.68 0.16 4.898 Br32 0.9991
06575301+0625054 6300 80 4.48 0.21 -0.26 0.07 2.97 0.1 4.898 Br32 1
06575864+0626186 6036 64 4.36 0.17 -0.8 0.05 2.5 0.1 4.898 Br32 1
06575971+0626232 5182 66 3.96 0.18 -0.53 0.05 1.09 0.16 4.898 Br32 1
06575986+0626550 4664 80 2.72 0.22 -1.27 0.08 1.04 0.0 4.898 Br32 0.9973
06580118+0630375 6564 82 4.63 0.22 0.41 0.06 2.94 0.24 4.898 Br32 1
06580135+0630092 6428 81 4.28 0.21 0.01 0.08 2.99 0.18 4.898 Br32 1
06580371+0620169 6317 82 4.29 0.21 -0.54 0.08 1.87 0.0 4.898 Br32 1
06580397+0624396 6240 84 4.12 0.22 -0.4 0.08 2.78 0.18 4.898 Br32 0.9999
06580400+0627168 6014 66 4.13 0.17 -0.35 0.06 1.59 0.36 4.898 Br32 1
06580493+0625444 6026 64 4.07 0.17 -0.56 0.05 2.7 0.08 4.898 Br32 1
06580499+0627356 6249 66 4.13 0.18 -0.57 0.05 2.4 0.1 4.898 Br32 1
06580623+0625285 6110 65 3.84 0.18 -0.42 0.05 2.43 0.11 4.898 Br32 0.9997
06580669+0627100 5934 64 4.27 0.17 -0.47 0.05 2.76 0.08 4.898 Br32 0.9999
06580719+0626367 6099 65 4.14 0.17 -0.48 0.05 2.02 0.14 4.898 Br32 0.9967
06580725+0630202 6005 64 4.17 0.17 -0.5 0.05 1.86 0.17 4.898 Br32 1
06580751+0625589 6236 64 4.23 0.18 -0.55 0.05 2.75 0.08 4.898 Br32 1
06580785+0628566 6274 65 4.16 0.17 -0.42 0.05 2.93 0.07 4.898 Br32 1
06580798+0628291 5534 83 4.48 0.22 -0.29 0.07 2.2 0.22 4.898 Br32 0.9999
06580849+0626148 6030 64 4.42 0.18 -0.57 0.06 2.45 0.1 4.898 Br32 0.9998
06580858+0627190 6185 66 3.99 0.18 -0.48 0.06 2.22 0.16 4.898 Br32 1
06580881+0628230 6341 66 4.22 0.18 -0.17 0.05 2.52 0.11 4.898 Br32 1
06581052+0625534 5945 64 4.5 0.18 -0.36 0.05 2.47 0.1 4.898 Br32 0.9999
06581156+0631069 6314 81 4.14 0.22 -0.41 0.07 2.92 0.1 4.898 Br32 1
06581202+0623266 6203 66 4.09 0.17 -0.47 0.05 2.39 0.13 4.898 Br32 1
06581260+0626303 6238 66 4.05 0.17 -0.5 0.05 2.27 0.11 4.898 Br32 1
06581372+0624136 6339 81 5 0.21 0.03 0.08 2.48 0.0 4.898 Br32 0.9999
06581642+0623348 6429 65 3.99 0.17 -0.45 0.05 2.88 0.09 4.898 Br32 0.9999
06581855+0627137 5519 64 4.28 0.17 -0.4 0.05 1.92 0.24 4.898 Br32 1
06582106+0622060 6283 64 4.17 0.17 -0.47 0.05 2.42 0.11 4.898 Br32 1
06582214+0629036 6087 83 4.66 0.22 -0.6 0.08 2.84 0.16 4.898 Br32 1
06582503+0624347 6328 63 4.24 0.17 -0.66 0.06 2.36 0.14 4.898 Br32 0.9981
06582579+0624005 6124 66 4.23 0.17 -0.26 0.05 2.65 0.11 4.898 Br32 1
06582632+0624474 5131 64 3.44 0.18 -0.37 0.05 0.81 0.17 4.898 Br32 0.9995
06575056+0626120 4927 32 2.73 0.05 -0.24 0.05 0.26 0.0 4.898 Br32 1
06575269+0628365 5892 66 4.16 0.18 -0.65 0.06 2.03 0.11 4.898 Br32 1
06575334+0628060 4914 22 2.57 0.04 -0.34 0.03 0.26 0.07 4.898 Br32 1
06575489+0622582 6242 65 4.04 0.18 -0.42 0.05 1.65 0.0 4.898 Br32 0.9982
06575615+0628305 4900 27 2.62 0.04 -0.19 0.03 0.31 0.08 4.898 Br32 1
06580225+0624567 4831 31 2.83 0.05 -0.25 0.05 0.25 0.0 4.898 Br32 1
06580317+0624222 4366 27 1.87 0.04 -0.23 0.04 -0.77 0.12 4.898 Br32 1
06580520+0625591 5673 66 4.32 0.18 -0.55 0.06 1.61 0.16 4.898 Br32 1
06580693+0625565 5034 23 2.85 0.04 -0.22 0.04 0.4 0.07 4.898 Br32 0.9999
06580823+0624195 4915 30 2.64 0.05 -0.36 0.05 0.3 0.0 4.898 Br32 1
06581041+0627202 4881 31 2.75 0.05 -0.29 0.05 0.33 0.0 4.898 Br32 1
06581062+0620402 6100 64 4.29 0.17 -0.44 0.05 2.35 0.09 4.898 Br32 0.998
06581072+0626212 5074 63 3.3 0.17 -0.28 0.06 0.83 0.14 4.898 Br32 1
06581419+0628477 5977 63 4.21 0.17 -0.34 0.06 1.9 0.14 4.898 Br32 1
06581795+0625351 6286 65 4.02 0.18 -0.52 0.06 2.6 0.11 4.898 Br32 1
06581869+0627037 5899 65 4.23 0.17 -0.38 0.05 1.59 0.0 4.898 Br32 0.9997
06582015+0625397 6126 64 4.13 0.17 -0.42 0.06 1.65 0.0 4.898 Br32 1
06582220+0624028 6571 66 3.88 0.17 -0.44 0.06 2.39 0.0 4.898 Br32 0.9657
06581064+0630417 6145 65 3.99 0.17 -0.59 0.05 2.04 0.17 4.898 Br32 1
06574927+0626531 5638 63 4.52 0.18 -0.24 0.05 2.23 0.15 4.898 Br32 0.9999
06575192+0625574 4947 66 3.53 0.18 -1 0.05 1.14 0.0 4.898 Br32 0.9822
06575214+0625050 5672 63 3.89 0.17 -0.37 0.06 2.07 0.19 4.898 Br32 0.9999
06575240+0630275 6258 64 4.07 0.17 -0.51 0.05 2.72 0.06 4.898 Br32 1
06575383+0628243 5857 66 4.25 0.18 -0.52 0.06 2.55 0.08 4.898 Br32 0.9967
06575602+0630205 5615 104 4.52 0.34 -0.33 0.1 1.86 0.19 4.898 Br32 1
06575624+0623280 5833 62 4.83 0.18 -0.16 0.05 2.49 0.1 4.898 Br32 0.9998
06575754+0629072 5979 67 3.9 0.18 -0.31 0.05 1.69 0.0 4.898 Br32 1
06575780+0630269 6263 68 4.06 0.18 -0.35 0.05 2.82 0.06 4.898 Br32 1
06575936+0627324 5450 66 4.49 0.18 -0.44 0.06 1.34 0.0 4.898 Br32 0.9999
06575952+0629533 5678 104 3.82 0.33 -0.47 0.09 2.17 0.22 4.898 Br32 0.9999
06575954+0626196 5188 64 4.69 0.17 -0.53 0.05 1.66 0.0 4.898 Br32 0.9998
06575993+0628329 6083 83 3.24 0.22 -0.46 0.08 2.78 0.14 4.898 Br32 0.9999
06580132+0626244 5652 64 4.65 0.17 -0.56 0.05 2.17 0.12 4.898 Br32 0.9999
06580150+0627418 5432 104 4.4 0.33 -0.19 0.1 1.84 0.0 4.898 Br32 0.9998
06580438+0623224 6182 63 4.3 0.18 -0.31 0.05 2.63 0.08 4.898 Br32 1
06580462+0624452 6000 65 4.51 0.17 -0.09 0.06 2.3 0.18 4.898 Br32 1
06580526+0628099 6067 66 4.51 0.18 -0.24 0.06 2.56 0.14 4.898 Br32 1
06580527+0622312 5333 84 4.86 0.22 -0.13 0.08 1.67 0.25 4.898 Br32 0.9994
06580593+0630035 5342 83 4.52 0.22 -0.19 0.07 1.84 0.0 4.898 Br32 0.9922
06580607+0627171 5302 69 4.67 0.21 -0.53 0.05 1.88 0.14 4.898 Br32 0.9971
06580615+0626526 5731 65 4.46 0.17 -0.44 0.05 2.05 0.12 4.898 Br32 0.9998
06580716+0626166 5445 65 4.32 0.18 -0.47 0.06 1.5 0.26 4.898 Br32 0.9999
06580792+0627381 5325 82 3.6 0.22 -0.47 0.08 1.64 0.22 4.898 Br32 0.9998
06580857+0626104 6085 68 4.12 0.17 -0.4 0.05 2.19 0.08 4.898 Br32 1
06580859+0625019 6122 66 4.39 0.17 -0.51 0.06 2.52 0.08 4.898 Br32 0.9763
06580915+0628017 5969 65 4.53 0.17 -0.47 0.05 2.65 0.09 4.898 Br32 1
06580970+0629485 6087 67 4.43 0.17 -0.35 0.06 2.6 0.09 4.898 Br32 0.9996
06581077+0623377 5373 65 4.85 0.17 -0.48 0.05 1.63 0.17 4.898 Br32 0.9999
06581084+0629112 5615 65 3.88 0.18 -0.41 0.05 2.14 0.18 4.898 Br32 0.9976
06581298+0627254 6019 64 4.29 0.17 -0.43 0.06 2.45 0.08 4.898 Br32 0.9999
06581390+0625203 6152 66 4.19 0.17 -0.48 0.06 2.05 0.12 4.898 Br32 1
06581401+0622261 5089 64 3.37 0.17 -0.32 0.05 0.95 0.09 4.898 Br32 1
06581409+0623309 5618 71 4.27 0.21 -0.4 0.06 1.64 0.0 4.898 Br32 0.9975
06581421+0627334 6037 63 4.22 0.17 -0.33 0.05 2.7 0.08 4.898 Br32 1
06581507+0630475 5936 65 4.45 0.17 -0.4 0.05 2.54 0.09 4.898 Br32 0.9997
06581525+0627118 5536 65 4.9 0.17 -0.3 0.05 2.06 0.16 4.898 Br32 0.9999
06581545+0627282 5802 64 4.3 0.17 -0.33 0.05 2.13 0.17 4.898 Br32 1
06581558+0622044 5434 65 4.81 0.17 -0.35 0.06 1.52 0.0 4.898 Br32 0.9999
06581690+0627309 5844 63 4.38 0.18 -0.37 0.05 2.33 0.14 4.898 Br32 0.9999
06581740+0626184 5724 65 4.38 0.17 -0.43 0.06 1.81 0.42 4.898 Br32 0.9997
06581788+0624265 5715 69 4.55 0.21 -0.23 0.05 2.11 0.15 4.898 Br32 0.9992
06581802+0628295 5497 80 4.29 0.22 -0.39 0.08 1.96 0.0 4.898 Br32 0.9993
06581860+0625400 5625 71 4.5 0.21 -0.41 0.06 2.27 0.15 4.898 Br32 1
06581936+0627194 6253 82 4.47 0.22 -0.03 0.08 3.12 0.14 4.898 Br32 0.9998
06581992+0621459 6202 64 4.16 0.18 -0.5 0.05 2.08 0.09 4.898 Br32 1
06582069+0619175 6168 65 4.05 0.18 -0.4 0.05 2.68 0.07 4.898 Br32 1
06582173+0628549 5345 82 3.85 0.22 -0.48 0.08 1.94 0.0 4.898 Br32 0.9996
06582243+0626488 5304 79 3.14 0.22 -0.46 0.08 1.56 0.0 4.898 Br32 0.999
06582421+0629090 5451 104 4.69 0.32 -0.39 0.09 1.62 0.43 4.898 Br32 0.9997
06582551+0630097 5804 64 4.08 0.18 -0.37 0.05 1.16 0.0 4.898 Br32 0.9999
06582562+0624530 5555 65 4.65 0.18 -0.36 0.05 2.05 0.18 4.898 Br32 0.9999
06582604+0628035 5769 83 4.34 0.22 -0.07 0.08 2.48 0.0 4.898 Br32 0.9999
06574913+0630031 5361 65 4.16 0.17 -0.48 0.05 0.94 0.31 4.898 Br32 0.9999
06575139+0625599 5217 81 3.61 0.22 -0.29 0.08 1.58 0.0 4.898 Br32 0.9936
06575139+0626328 5960 65 4.11 0.17 -0.5 0.05 2.6 0.09 4.898 Br32 0.9976
06575203+0621497 6154 101 4.54 0.34 0.07 0.1 2.72 0.16 4.898 Br32 0.9999
06575307+0628377 5816 81 3.77 0.22 -0.5 0.08 1.94 0.26 4.898 Br32 0.9999
06575377+0622068 5812 105 4.33 0.33 0.1 0.09 2.49 0.2 4.898 Br32 0.9999
06575402+0624587 5793 83 3.4 0.22 -0.49 0.07 2.65 0.15 4.898 Br32 0.9999
06575584+0629385 6122 64 4.23 0.18 -0.33 0.06 2.8 0.08 4.898 Br32 0.9999
06575634+0627267 6091 66 4.17 0.17 -0.48 0.05 2.34 0.1 4.898 Br32 0.9999
06575024+0630310 5661 66 4.83 0.14 -0.54 0.08 2.22 0.13 4.898 Br32 0.9999
06575105+0631137 5391 64 3.65 0.14 -0.32 0.07 1.01 0.32 4.898 Br32 1
06575213+0629184 6203 64 3.93 0.15 -0.35 0.07 2.32 0.1 4.898 Br32 1
06575323+0627039 6198 66 4.22 0.14 -0.33 0.07 3.04 0.08 4.898 Br32 1
06575517+0626460 5689 64 4.36 0.14 -0.39 0.07 2.11 0.15 4.898 Br32 1
06575578+0628126 6140 65 4.41 0.14 -0.32 0.07 2.85 0.07 4.898 Br32 1
06575667+0628179 5891 65 4.48 0.14 -0.36 0.07 2.55 0.1 4.898 Br32 0.9994
06575691+0627169 6267 65 4.3 0.14 -0.33 0.07 2.85 0.06 4.898 Br32 1
06575840+0623497 5875 63 4.28 0.14 -0.26 0.07 2.25 0.2 4.898 Br32 1
06575894+0626486 6270 64 4.5 0.15 -0.32 0.07 2.5 0.11 4.898 Br32 0.9998
06580016+0626396 5701 66 3.71 0.14 -0.31 0.07 1.6 0.17 4.898 Br32 1
06580121+0622131 6169 65 4.19 0.14 -0.37 0.07 2.82 0.1 4.898 Br32 0.9999
06580246+0625238 6295 64 4.21 0.15 -0.36 0.07 2.89 0.06 4.898 Br32 0.9999
06580288+0625411 5632 64 4.42 0.14 -0.46 0.07 1.87 0.0 4.898 Br32 0.9999
06580297+0625584 6216 68 4.44 0.14 -0.33 0.07 2.82 0.07 4.898 Br32 1
06580403+0622581 6061 64 3.91 0.15 -0.22 0.07 2.29 0.09 4.898 Br32 1
06580447+0626557 5866 63 4.32 0.15 -0.36 0.07 2.33 0.12 4.898 Br32 0.9999
06580516+0623013 4282 32 1.8 0.06 -0.34 0.05 -0.85 0.13 4.898 Br32 1
06580606+0620556 6154 65 4.22 0.14 -0.29 0.07 2.93 0.11 4.898 Br32 1
06580652+0625389 6232 64 4.42 0.14 -0.26 0.07 2.81 0.12 4.898 Br32 1
06580703+0626474 5997 65 4.34 0.14 -0.21 0.07 2.4 0.13 4.898 Br32 0.9999
06580904+0626090 6258 66 4.1 0.15 -0.36 0.07 2.31 0.1 4.898 Br32 0.9997
06581024+0621063 6344 67 4.04 0.14 -0.35 0.07 2.79 0.09 4.898 Br32 1
06581029+0630000 6195 65 4 0.14 -0.35 0.07 1.68 0.39 4.898 Br32 0.9993
06581058+0626484 5736 65 3.9 0.14 -0.39 0.07 1.71 0.16 4.898 Br32 0.9987
06581327+0626028 5560 64 3.66 0.14 -0.29 0.07 1.63 0.12 4.898 Br32 1
06581408+0626432 5355 62 3.83 0.14 -0.39 0.07 1.36 0.14 4.898 Br32 1
06581471+0627024 6221 66 4.12 0.14 -0.2 0.07 2.89 0.06 4.898 Br32 1
06581473+0631199 6379 63 4.09 0.14 -0.4 0.07 2.36 0.09 4.898 Br32 1
06581615+0622387 6209 66 4.32 0.14 -0.16 0.07 2.48 0.14 4.898 Br32 0.9998
06581923+0626333 6342 64 4.02 0.15 -0.35 0.07 2.76 0.07 4.898 Br32 1
06581983+0624485 6218 64 4.34 0.14 -0.21 0.07 2.9 0.08 4.898 Br32 1
06582027+0623482 6260 66 3.92 0.14 -0.42 0.07 2.53 0.1 4.898 Br32 0.9998
06582217+0625076 4980 63 2.48 0.15 -0.39 0.07 0.57 0.18 4.898 Br32 0.9977
06582463+0624211 6437 92 3.59 0.14 -0.82 0.05 2.95 0.09 4.898 Br32 0.9984
06582478+0624100 6109 65 3.85 0.14 -0.34 0.07 1.86 0.21 4.898 Br32 1
06582634+0628040 6296 66 3.97 0.14 -0.41 0.07 2.21 0.19 4.898 Br32 1
06582662+0630128 6257 62 3.98 0.14 -0.39 0.07 2.25 0.12 4.898 Br32 1
06583089+0623307 6307 64 4.05 0.14 -0.25 0.07 2.61 0.07 4.898 Br32 1
06574763+0623449 4812 31 2.76 0.05 -0.29 0.05 0.07 0.0 4.898 Br32 1
06574791+0623475 4758 30 2.68 0.05 -0.3 0.05 0.52 0.09 4.898 Br32 0.9982
06580078+0626537 5052 31 2.54 0.05 -0.29 0.05 0.51 0.0 4.898 Br32 1
06580308+0626161 4936 29 2.68 0.05 -0.29 0.05 0.21 0.0 4.898 Br32 0.9824
06580338+0626499 4152 42 1.37 0.07 -0.44 0.05 -0.67 0.12 4.898 Br32 1
06580421+0627172 5099 23 2.97 0.04 -0.11 0.04 0.53 0.13 4.898 Br32 1
06581375+0627549 4920 31 2.66 0.05 -0.29 0.05 -0.03 0.0 4.898 Br32 1
06582290+0626253 4928 30 2.65 0.05 -0.28 0.05 0.15 0.0 4.898 Br32 1
07160722-1314272 5793 83 4.81 0.22 -0.21 0.08 2.74 0.15 6.761 Br36 0.9977
07161398-1311119 5516 79 3.28 0.22 -0.49 0.08 2.5 0.14 6.761 Br36 0.9808
07161693-1315132 5145 64 3.48 0.17 -0.02 0.05 1.44 0.21 6.761 Br36 0.9865
07161707-1316305 5760 84 4 0.22 -0.4 0.08 2.61 0.14 6.761 Br36 0.9987
07162000-1304063 5960 66 4.29 0.17 -0.22 0.05 2.74 0.1 6.761 Br36 0.9994
07162350-1321199 5648 83 3.84 0.21 -0.17 0.08 2.35 0.14 6.761 Br36 0.9992
07162772-1315322 5905 65 4.72 0.17 -0.19 0.05 2.18 0.17 6.761 Br36 0.9992
07162779-1318188 5715 66 3.99 0.17 -0.27 0.05 2.55 0.11 6.761 Br36 0.9993
07162935-1318354 5519 65 4.1 0.17 -0.21 0.06 1.94 0.14 6.761 Br36 0.9993
07163328-1316019 5027 64 3.18 0.17 -0.31 0.05 1.22 0.16 6.761 Br36 0.9984
07163664-1313443 5553 82 2.98 0.21 -0.33 0.07 2.74 0.18 6.761 Br36 0.998
07163773-1313049 6038 104 3.76 0.34 -0.09 0.1 3.17 0.18 6.761 Br36 0.9978
07163870-1310244 5760 64 4.3 0.18 -0.21 0.06 2.79 0.1 6.761 Br36 0.9977
07163982-1320304 4963 65 3.33 0.18 -0.25 0.06 1.54 0.13 6.761 Br36 0.9965
07164795-1316024 5387 81 3.92 0.21 -0.49 0.08 2.08 0.22 6.761 Br36 0.9948
07155232-1311130 5479 66 3.51 0.17 -0.55 0.06 2.45 0.11 6.761 Br36 0.9987
07155441-1313414 6134 103 4.32 0.35 -0.11 0.09 2.87 0.18 6.761 Br36 0.9914
07160749-1312096 6124 82 4.54 0.22 -0.16 0.08 2.46 0.29 6.761 Br36 0.9968
07161183-1312270 5075 63 3.29 0.17 -0.01 0.06 1.11 0.25 6.761 Br36 0.9976
07161195-1311553 5528 64 3.94 0.17 -0.22 0.05 1.72 0.28 6.761 Br36 0.9978
07161876-1313539 4937 64 3.36 0.17 -0.44 0.05 1.41 0.17 6.761 Br36 0.998
07161946-1313095 5858 64 4.23 0.17 -0.5 0.05 2.54 0.12 6.761 Br36 0.9991
07162048-1311373 4990 63 3.17 0.17 -0.13 0.05 0.89 0.23 6.761 Br36 0.9791
07162050-1314197 4734 63 2.47 0.17 -0.26 0.06 0.79 0.14 6.761 Br36 0.9998
07162204-1308239 5420 82 3.31 0.22 -0.08 0.08 2.46 0.14 6.761 Br36 0.996
07162212-1311051 4926 81 2.36 0.21 -0.46 0.08 1.22 0.27 6.761 Br36 0.9967
07162329-1308456 5440 84 2.27 0.22 -0.45 0.08 2.27 0.2 6.761 Br36 0.9757
07162589-1311596 5366 83 2.88 0.23 -0.37 0.08 2.33 0.16 6.761 Br36 0.993
07162701-1310081 5935 84 3.94 0.22 -0.19 0.08 2.68 0.16 6.761 Br36 0.9968
07162703-1307440 5707 65 4.08 0.18 -0.07 0.05 2.31 0.13 6.761 Br36 0.9901
07162725-1310376 5752 82 3.68 0.22 -0.49 0.07 2.4 0.19 6.761 Br36 0.9939
07162741-1312006 6011 83 3.63 0.21 -0.14 0.08 2.76 0.17 6.761 Br36 0.9946
07162746-1311194 5767 65 4.09 0.17 -0.38 0.05 2.65 0.09 6.761 Br36 0.9987
07162834-1307053 5452 63 3.85 0.17 -0.34 0.05 2.05 0.13 6.761 Br36 0.998
07162855-1311160 4997 65 3.27 0.18 -0.1 0.06 1.24 0.16 6.761 Br36 0.9928
07162891-1310233 5547 82 2.86 0.22 -0.46 0.07 2.32 0.16 6.761 Br36 0.9953
07163057-1310135 5107 65 3.75 0.17 -0.23 0.05 1.62 0.1 6.761 Br36 0.9994
07163127-1310328 5870 64 3.95 0.17 -0.14 0.05 2.54 0.1 6.761 Br36 0.9912
07163460-1311054 5743 81 3.5 0.22 -0.08 0.08 2.24 0.0 6.761 Br36 0.9601
07163873-1311394 5413 80 4.19 0.21 -0.24 0.07 2.56 0.12 6.761 Br36 0.9976
07164005-1312365 5030 65 3.54 0.18 0.03 0.06 1.5 0.14 6.761 Br36 0.9921
07165851-1309503 5574 81 3.3 0.22 -0.11 0.08 2.41 0.14 6.761 Br36 0.9974
07161811-1310432 4583 33 2.56 0.05 -0.18 0.05 0.23 0.08 6.761 Br36 0.9968
07163517-1310311 4679 33 2.73 0.05 -0.15 0.05 0.44 0.1 6.761 Br36 0.9995
07160171-1312232 4721 64 2.61 0.17 -0.14 0.05 0.78 0.0 6.761 Br36 0.9992
07160489-1314204 5863 83 3.81 0.22 -0.52 0.08 2.58 0.13 6.761 Br36 0.9986
07161142-1309387 5613 66 3.98 0.18 -0.35 0.05 2.44 0.11 6.761 Br36 0.9991
07161150-1312477 5416 82 2.95 0.22 -0.46 0.08 2.56 0.16 6.761 Br36 0.9981
07161882-1311577 5918 82 4.07 0.21 -0.41 0.07 2.65 0.12 6.761 Br36 0.9957
07162084-1308434 6145 82 4.38 0.22 -0.12 0.08 2.62 0.19 6.761 Br36 0.9987
07162099-1308318 5096 65 3.36 0.17 -0.02 0.05 0.76 1.04 6.761 Br36 0.9939
07162129-1318171 5637 83 3.57 0.22 -0.32 0.08 2.28 0.21 6.761 Br36 0.9961
07162290-1313412 5870 65 4.48 0.17 -0.41 0.06 2.79 0.1 6.761 Br36 0.9753
07162292-1314162 5819 82 4.42 0.22 -0.27 0.08 2.6 0.14 6.761 Br36 0.9985
07162354-1306594 5545 64 3.71 0.18 -0.12 0.05 1.84 0.21 6.761 Br36 0.9992
07162417-1309044 5436 67 3.53 0.17 -0.34 0.05 2.41 0.11 6.761 Br36 0.9984
07162496-1312164 5731 67 4.51 0.18 -0.34 0.05 2.53 0.11 6.761 Br36 0.9623
07162503-1310296 5510 65 3.22 0.18 -0.57 0.05 2.29 0.11 6.761 Br36 0.9935
07162705-1309583 4981 63 3.54 0.18 -0.34 0.05 1 0.27 6.761 Br36 0.9995
07162738-1310305 5660 67 3.9 0.17 -0.43 0.05 1.59 0.0 6.761 Br36 0.9964
07162760-1312142 5849 79 3.82 0.22 -0.16 0.08 2.54 0.15 6.761 Br36 0.9972
07162864-1310530 5197 65 3.98 0.18 -0.31 0.05 1.57 0.19 6.761 Br36 0.999
07163024-1312230 4909 64 3.12 0.17 -0.49 0.05 1.1 0.31 6.761 Br36 0.9976
07163367-1309129 5292 81 3.29 0.22 -0.55 0.08 1.63 0.0 6.761 Br36 0.9978
07163450-1311317 5997 63 4.1 0.18 -0.09 0.06 2.97 0.1 6.761 Br36 0.998
07163471-1303410 5628 65 4.46 0.18 -0.05 0.05 2.19 0.13 6.761 Br36 0.9866
07163808-1312459 5885 83 3.5 0.22 -0.2 0.08 2.53 0.19 6.761 Br36 0.9983
07163819-1310564 5430 81 4.74 0.22 -0.37 0.08 2.38 0.17 6.761 Br36 0.9982
07163906-1312433 5625 64 4.08 0.17 -0.25 0.05 2.34 0.16 6.761 Br36 0.9531
07163922-1310479 6421 104 4.08 0.34 0.11 0.1 2.86 0.23 6.761 Br36 0.992
07164223-1311548 5988 85 4.11 0.22 -0.25 0.08 2.53 0.22 6.761 Br36 0.9987
07165003-1315435 4902 81 3.32 0.22 -0.71 0.08 1.09 0.0 6.761 Br36 0.9945
07160107-1317329 5018 63 3.24 0.17 0.1 0.05 1.06 0.0 6.761 Br36 0.9997
07160849-1304452 5075 64 3.33 0.17 -0.01 0.05 1.26 0.0 6.761 Br36 0.9996
07161139-1318289 5577 82 3.11 0.21 -0.29 0.08 2.36 0.16 6.761 Br36 0.9784
07161839-1311057 4449 66 2.27 0.18 -0.27 0.05 0.09 0.15 6.761 Br36 0.9998
07161844-1312066 4975 82 4.24 0.22 -0.44 0.07 1.96 0.17 6.761 Br36 0.9987
07161931-1313149 5473 81 3.9 0.22 -0.29 0.08 2.07 0.15 6.761 Br36 0.9925
07161978-1315363 5184 83 3.03 0.21 -0.54 0.08 2.13 0.19 6.761 Br36 0.9938
07162022-1310489 6536 83 4.37 0.22 -0.33 0.08 2.29 0.0 6.761 Br36 0.9985
07162075-1315457 5494 83 4.13 0.21 -0.17 0.08 2.1 0.18 6.761 Br36 0.9993
07162121-1316266 5730 66 3.92 0.17 -0.16 0.05 2.51 0.12 6.761 Br36 0.9984
07162216-1315374 4665 66 2.39 0.17 -0.25 0.05 -0.09 0.45 6.761 Br36 0.9905
07162227-1312375 5801 82 4.66 0.22 -0.1 0.08 2.27 0.22 6.761 Br36 0.9972
07162717-1307077 5759 82 3.61 0.21 -0.05 0.08 2.49 0.14 6.761 Br36 0.998
07162762-1309303 5717 80 3.1 0.22 -0.43 0.08 2.66 0.15 6.761 Br36 0.9981
07162780-1312559 5699 82 3.86 0.22 -0.19 0.07 2.2 0.21 6.761 Br36 0.9987
07162827-1317063 4693 63 2.35 0.18 -0.16 0.06 0.74 0.0 6.761 Br36 0.9985
07163097-1312569 4718 63 2.45 0.17 -0.3 0.05 0.35 0.35 6.761 Br36 0.9994
07163134-1312474 4887 65 3.51 0.17 -0.08 0.06 1.11 0.14 6.761 Br36 0.9896
07155687-1311181 5004 68 3.58 0.17 -0.15 0.06 0.87 0.26 6.761 Br36 0.9969
07155803-1313094 5166 66 3.76 0.17 -0.13 0.05 1.31 0.23 6.761 Br36 0.9989
07160421-1312592 4747 64 2.52 0.17 -0.25 0.05 0.69 0.0 6.761 Br36 0.9912
07161322-1303264 4366 65 1.97 0.18 -0.28 0.05 -0.19 0.14 6.761 Br36 0.9998
07161365-1315324 5981 64 4.13 0.17 -0.04 0.05 2.69 0.11 6.761 Br36 0.9987
07161430-1310190 4824 66 2.89 0.17 -0.08 0.05 0.43 0.28 6.761 Br36 0.9997
07161585-1310218 5653 83 4.24 0.22 -0.17 0.08 2.38 0.14 6.761 Br36 0.9989
07161647-1312293 5758 64 3.95 0.16 -0.3 0.06 2.51 0.1 6.761 Br36 0.9986
07161751-1315339 6028 65 4.1 0.17 -0.09 0.05 2.41 0.15 6.761 Br36 0.996
07161803-1313522 5970 66 4.11 0.18 -0.17 0.05 2.44 0.17 6.761 Br36 0.9983
